label,message,Unnamed: 2,Unnamed: 3,Unnamed: 4,cleaned_message,message_length
0,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,,,,pls go ahead watts wanted sure great weekend abiola,82
0,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",,,,forget tell want need crave love sweet arabian steed mmmmmm yummy,142
1,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,,,,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow,172
0,WHO ARE YOU SEEING?,,,,seeing,19
0,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,,,,great hope like man well endowed ltgt inches,72
0,No calls..messages..missed calls,,,,callsmessagesmissed calls,32
0,Didn't you get hep b immunisation in nigeria.,,,,didnt get hep b immunisation nigeria,45
0,"Fair enough, anything going on?",,,,fair enough anything going,31
0,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",,,,yeah hopefully tyler cant could maybe ask around bit,67
0,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,,,,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers,148
0,What you thinked about me. First time you saw me in class.,,,,thinked first time saw class,58
0,"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",,,,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt,124
0,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,,,,k fyi x ride early tomorrow morning hes crashing place tonight,80
0,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.""",,,,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing,291
1,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,,,,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv,120
0,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,,,,know mallika sherawat yesterday find lturlgt,76
1,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",,,,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss,161
0,"Sorry, I'll call later in meeting.",,,,sorry ill call later meeting,34
0,Tell where you reached,,,,tell reached,22
0,Yes..gauti and sehwag out of odi series.,,,,yesgauti sehwag odi series,40
0,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,,,,gonna pick burger way home cant even move pain killing,108
0,Ha ha ha good joke. Girls are situation seekers.,,,,ha ha ha good joke girls situation seekers,48
0,Its a part of checking IQ,,,,part checking iq,25
0,"Sorry my roommates took forever, it ok if I come by now?",,,,sorry roommates took forever ok come,56
0,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,,,,ok lar double check wif da hair dresser already said wun cut v short said cut look nice,110
1,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",,,,valued customer pleased advise following recent review mob awarded å bonus prize call,153
0,"Today is \song dedicated day..\"" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""",,,,today song dedicated day song u dedicate send ur valuable frnds first rply,124
1,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",,,,urgent ur awarded complimentary trip eurodisinc trav acoentry å claim txt dis åmorefrmmob shracomorsglsuplt ls aj,161
1,"Did you hear about the new \Divorce Barbie\""? It comes with all of Ken's stuff!""",,,,hear new divorce barbie comes kens stuff,80
0,I plane to give on this month end.,,,,plane give month end,34
0,Wah lucky man... Then can save money... Hee...,,,,wah lucky man save money hee,46
0,Finished class where are you.,,,,finished class,29
0,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,,,,hi babe im home wanna something xx,45
0,K..k:)where are you?how did you performed?,,,,kkwhere youhow performed,42
0,U can call me now...,,,,u call,20
0,I am waiting machan. Call me once you free.,,,,waiting machan call free,43
0,Thats cool. i am a gentleman and will treat you with dignity and respect.,,,,thats cool gentleman treat dignity respect,73
0,I like you peoples very much:) but am very shy pa.,,,,like peoples much shy pa,50
0,Does not operate after  &lt;#&gt;  or what,,,,operate ltgt,42
0,Its not the same here. Still looking for a job. How much do Ta's earn there.,,,,still looking job much tas earn,76
0,"Sorry, I'll call later",,,,sorry ill call later,22
0,K. Did you call me just now ah? ,,,,k call ah,32
0,Ok i am on the way to home hi hi,,,,ok way home hi hi,32
0,You will be in the place of that man,,,,place man,36
0,Yup next stop.,,,,yup next stop,14
0,"I call you later, don't have network. If urgnt, sms me.",,,,call later dont network urgnt sms,55
0,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,,,,real u getting yo need tickets one jacket im done already used multis,121
0,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,,,,yes started send requests make pain came back im back bed double coins factory gotta cash nitros,144
0,I'm really not up to it still tonight babe,,,,im really still tonight babe,42
0,"Ela kano.,il download, come wen ur free..",,,,ela kanoil download come wen ur free,41
0,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,,,,yeah donût stand close tho youûll catch something,62
0,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. ,,,,sorry pain ok meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry,195
0,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,,,,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling,141
1,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,,please call customer service representative ampm guaranteed å cash å prize,139
0,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,,,,havent planning buy later check already lido got show e afternoon u finish work already,107
1,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML", PO Box 5249," MK17 92H. 450Ppw 16""",,free ringtone waiting collected simply text password mix verify get usher britney fml,125
0,Watching telugu movie..wat abt u?,,,,watching telugu moviewat abt u,33
0,i see. When we finish we have loads of loans to pay,,,,see finish loads loans pay,51
0,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham""",,,,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham,184
0,Please don't text me anymore. I have nothing else to say.,,,,please dont text anymore nothing else say,57
0,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,,,,okay name ur price long legal wen pick u ave x ams xx,81
0,I'm still looking for a car to buy. And have not gone 4the driving test yet.,,,,im still looking car buy gone driving test yet,76
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",,,,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston,183
0,Umma my life and vava umma love you lot dear,,,,umma life vava umma love lot dear,44
0,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,,,,thanks lot wishes birthday thanks making birthday truly memorable,95
0,"Aight, I'll hit you up when I get some cash",,,,aight ill hit get cash,43
0,How would my ip address test that considering my computer isn't a minecraft server,,,,would ip address test considering computer isnt minecraft server,82
0,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,,,,know grumpy old people mom like better lying always one play jokes,115
0,Dont worry. I guess he's busy.,,,,dont worry guess hes busy,30
0,What is the plural of the noun research?,,,,plural noun research,40
0,Going for dinner.msg you after.,,,,going dinnermsg,31
0,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,,,,im ok wif cos like try new things scared u dun like mah cos u said loud,96
1,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,,,,gent trying contact last weekends draw shows å prize guaranteed call claim code k valid hrs ppm,159
0,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",,,,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened,143
0,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",,,,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went,156
1,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,,,,winner u specially selected receive å holiday flights inc speak live operator claim pmin,153
0,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! ,,,,goodo yes must speak friday eggpotato ratio tortilla needed,72
0,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,,,,hmmmy uncle informed hes paying school directly pls buy food,86
1,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,,,,private account statement shows unredeemed bonus points claim call identifier code expires,144
1,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",,,,urgent mobile awarded å bonus caller prize final try contact u call landline boxwrc ppm,157
0,here is my new address -apples&pairs&all that malarky,,,,new address applespairsall malarky,53
1,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,,,,todays voda numbers ending selected receive award match please call quoting claim code standard rates app,156
0,I am going to sao mu today. Will be done only at 12 ,,,,going sao mu today done,52
0,ÌÏ predict wat time Ì_'ll finish buying?,,,,ìï predict wat time ì_ll finish buying,40
0,"Good stuff, will do.",,,,good stuff,20
0,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",,,,knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise,244
0,Are you there in room.,,,,room,22
0,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,,,,hey girl r u hope u r well del r bak long time c give call sum time lucyxx,107
0,K..k:)how much does it cost?,,,,kkhow much cost,28
0,I'm home.,,,,im home,9
0,"Dear, will call Tmorrow.pls accomodate.",,,,dear call tmorrowpls accomodate,39
0,First answer my question.,,,,first answer question,25
1,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,,,,sunshine quiz wkly q win top sony dvd player u know country algarve txt ansr å sptyrone,126
1,Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,,,,want get laid tonight want real dogging locations sent direct ur mob join uks largest dogging network bt txting gravel nt eca pmsgp,162
0,I only haf msn. It's yijue@hotmail.com,,,,haf msn yijuehotmailcom,38
0,He is there. You call and meet him,,,,call meet,34
0,No no. I will check all rooms befor activities,,,,check rooms befor activities,46
1,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,,,,youll rcv msgs chat svc free hardcore services text go u get nothing u must age verify yr network try,155
0,Got c... I lazy to type... I forgot Ì_ in lect... I saw a pouch but like not v nice...,,,,got c lazy type forgot ì_ lect saw pouch like v nice,86
0,"K, text me when you're on the way",,,,k text youre way,33
0,"Sir, Waiting for your mail.",,,,sir waiting mail,27
0,"A swt thought: \Nver get tired of doing little things 4 lovable persons..\"" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8""",,,,swt thought nver get tired little things lovable persons cozsomtimes little things occupy biggest part hearts gud ni,158
0,I know you are. Can you pls open the back?,,,,know pls open back,42
0,Yes see ya not on the dot,,,,yes see ya dot,25
0,Whats the staff name who is taking class for us?,,,,whats staff name taking class us,48
1,"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",,,,freemsg havent replied text im randy sexy female live local luv hear u netcollex ltd p per msg reply stop end,159
0,Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,,,,ummmawill call check inour life begin qatar pls pray hard,84
0,K..i deleted my contact that why?,,,,ki deleted contact,33
0,Sindu got job in birla soft ..,,,,sindu got job birla soft,30
0,The wine is flowing and i'm i have nevering..,,,,wine flowing im nevering,45
0,Yup i thk cine is better cos no need 2 go down 2 plaza mah.,,,,yup thk cine better cos need go plaza mah,59
0,Ok... Ur typical reply...,,,,ok ur typical reply,25
0,"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",,,,everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one,384
0,Aaooooright are you at work?,,,,aaooooright work,28
0,I'm leaving my house now...,,,,im leaving house,27
0,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",,,,hello love get interview today happy good boy think meare missing,157
1,Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,,,,customer service annoncement new years delivery waiting please call arrange delivery,124
1,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,,,,winner u specially selected receive å cash holiday flights inc speak live operator claim,146
0,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,,,,keep safe need miss already envy everyone sees real life,115
0,New car and house for my parents.:)i have only new job in hand:),,,,new car house parentsi new job hand,64
0,I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,,,,im love im excited day spend make happy,85
1,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,,,,pls stop bootydelious f inviting friend reply yes see wwwsmsacubootydelious stop send stop frnd,152
1,"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",,,,bangbabes ur order way u receive service msg download ur content u goto wap bangb tv ur mobile internetservice menu,155
0,I place all ur points on e cultures module already.,,,,place ur points e cultures module already,51
1,URGENT! We are trying to contact you. Last weekends draw shows that you have won a å£900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,,,,urgent trying contact last weekends draw shows å prize guaranteed call claim code valid hrs,157
0,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",,,,hi frnd best way avoid missunderstding wit beloved ones,74
0,Great escape. I fancy the bridge but needs her lager. See you tomo ,,,,great escape fancy bridge needs lager see tomo,67
0,Yes :)it completely in out of form:)clark also utter waste.,,,,yes completely formclark also utter waste,59
0,"Sir, I need AXIS BANK account no and bank address.",,,,sir need axis bank account bank address,50
0,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... ",,,,hmmm thk sure got time hop ard ya go free abt muz call u discuss liao,94
0,What time you coming down later? ,,,,time coming later,33
0,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... ",,,,bloody hell cant believe forgot surname mr ill give u clue spanish begins,105
0,"Well, i'm gonna finish my bath now. Have a good...fine night.",,,,well im gonna finish bath goodfine night,61
0,Let me know when you've got the money so carlos can make the call,,,,let know youve got money carlos make call,65
0,U still going to the mall?,,,,u still going mall,26
0,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",,,,turns friends staying whole show wont back til ltgt feel free go ahead smoke ltgt worth,146
0,Text her. If she doesnt reply let me know so i can have her log in,,,,text doesnt reply let know log,66
0,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,,,,hi spoke maneesha v wed like know satisfied experience reply toll free yes,126
0,You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,,,,lifted hopes offer money need especially end month approaches hurts studying anyways gr weekend,159
0,Lol no. U can trust me.,,,,lol u trust,23
0,ok. I am a gentleman and will treat you with dignity and respect.,,,,ok gentleman treat dignity respect,65
0,"He will, you guys close?",,,,guys close,24
0,Going on nothing great.bye,,,,going nothing greatbye,26
0,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,,,,hello handsome finding job lazy working towards getting back net mummy wheres boytoy miss,152
0,"Haha awesome, be there in a minute",,,,haha awesome minute,34
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,,,,please call customer service representative freephone ampm guaranteed å cash å prize,149
0,Have you got Xmas radio times. If not i will get it now,,,,got xmas radio times get,55
0,I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,,,,jus reached home go bathe first sis using net tell u finishes k,88
1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,,,,unique enough find th august wwwareyouuniquecouk,72
0,I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,,,,im sorry ive joined league people dont keep touch mean great deal friend times even great personal cost great week,185
0,Hi :)finally i completed the course:),,,,hi finally completed course,37
0,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,,,,stop however suggest stays someone able give ors every stool,111
0,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,,,,hope youve settled new school year wishin gr day,92
0,Gud mrng dear hav a nice day,,,,gud mrng dear hav nice day,28
0,Did u got that persons story,,,,u got persons story,28
0,is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt? ,,,,hamster dead hey tmr meet pm orchard mrt,64
0,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,,,,hi kate evening hope see tomorrow bit bloody babyjontet txt back u xxx,131
0,"Found it, ENC  &lt;#&gt; , where you at?",,,,found enc ltgt,40
0,I sent you  &lt;#&gt;  bucks,,,,sent ltgt bucks,28
0,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,,,,hello darlin ive finished college txt u finish u love kate xxx,84
0,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,,,,account refilled successfully inr ltdecimalgt keralacircle prepaid account balance rs ltdecimalgt transaction id kr ltgt,174
0,Goodmorning sleeping ga.,,,,goodmorning sleeping ga,24
0,U call me alter at 11 ok.,,,,u call alter ok,25
0,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar...,,,,ìï say like dat dun buy ericsson oso cannot oredi lar,64
0,"Aight yo, dats straight dogg",,,,aight yo dats straight dogg,28
0,You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,,,,please give us connection today ltdecimalgt refund bill,86
0,Both :) i shoot big loads so get ready!,,,,shoot big loads get ready,39
0,"What's up bruv, hope you had a great break. Do have a rewarding semester.",,,,whats bruv hope great break rewarding semester,73
0,Home so we can always chat,,,,home always chat,26
0,K:)k:)good:)study well.,,,,kkgoodstudy well,23
0,Yup... How Ì_ noe leh...,,,,yup ì_ noe leh,24
0,Sounds great! Are you home now?,,,,sounds great home,31
0,Finally the match heading towards draw as your prediction.,,,,finally match heading towards draw prediction,58
0,Tired. I haven't slept well the past few nights.,,,,tired havent slept well past nights,48
0,Easy ah?sen got selected means its good..,,,,easy ahsen got selected means good,41
0,I have to take exam with march 3,,,,take exam march,32
0,Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,,,,yeah think use gt atm register sure theres anyway help let know sure ready,159
0,Ok no prob. Take ur time.,,,,ok prob take ur time,25
0,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,,,,os called ubandu run without installing hard diskyou use os copy important files system give repair shop,161
0,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,,,,u say leh course nothing happen lar say v romantic jus bit lor thk e nite scenery nice leh,119
1,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY å£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",,,,new mobiles must go txt nokia collect todayfrom å wwwtcbiz optout gbpmtmsg,143
0,Would really appreciate if you call me. Just need someone to talk to.,,,,would really appreciate call need someone talk,69
1,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",,,,u meet ur dream partner soon ur career flyng start find free txt horo followed ur star sign e g horo aries,137
0,Hey company elama po mudyadhu.,,,,hey company elama po mudyadhu,30
0,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .",,,,life strict teacher bcoz teacher teaches lesson amp conducts exam life first conducts exam amp teaches lessons happy morning,165
0,Dear good morning now only i am up,,,,dear good morning,34
